"number","text","code","Anmerkung"
"6969","ISI-T der Boxer… https://t.co/68jZqHxDIq","",""
"6978","Wo liegt der Fehler? - Online-Petition für ein Kopftuchverbot bei jungen Mädchen sucht engagierte Demokraten https://t.co/CYfPnys2pM https://t.co/KgAhKEVwA0","",""
"6979","Findet den FEHLER! Islamisten haben 100.000 Stimmen gesammelt. Dem gegenüber haben Demokraten bis jetzt nur auf ca 4.500 Stimmen geschafft. Deswegen bitte ich diese Online-Petition für ein Kopftuchverbot bei jungen Mädchen in den Schulen zu unterstützen. https://t.co/d69EyEM7Qv https://t.co/d4xRS0tzDm","",""
"6980","Gestern Abend war ich zu Gast in Fulda bei dem CV Zirkel Buchonia. Dort durfte ich über das Thema „Werte schaffen Heimat – Radikalislamismus bedroht unsere Werte“ referieren. Vielen Dank für diese Einladung, es war ein spannender Abend mit einer interessanten Diskussion. https://t.co/VzSFmGOrQl","",""
"6982","„Radikalislamistischer Gefährder“! Keine andere Bezeichnung wurde im letzten Jahr in den Medien so oft benutzt wie dieses Wort. Als Gefährder gilt, wer nach Ansicht der Sicherheitsbehörden eine schwere Straftat oder Böses begehen könnte.","",""
"6983","Deutsche Ausweise, Führerscheine, Bank- und Krankenkassenkarten werden im Internet, vor allem über soziale Medien verkauft. Davor warnt auch die Bundespolizei.","",""
"6984","Schwarzhandel mit originaldeutschen Pässen und Dokumenten muss dringend unterbunden werden. Deutsche Ausweise sind auf dem internationalen Schwarzmarkt sehr gefragt. Der Handel mit den Reisedokumenten ist keine Seltenheit mehr. https://t.co/Eg4ucvzUXZ","",""
"6985","Ismail Tipi: NSU-Verbrechen dürfen sich nicht wiederholen – Rechten, linken und religiösen Extremismus entschieden bekämpfen https://t.co/F0QpRYJhU4 https://t.co/83cklwXzhh","",""
"6989","Die Zahl der radikalislamistischen Gefährder in Deutschland steigt stetig. Nun, ist es jetzt eine „Schein-“ oder eine „Demokratiedebatte“? Ja, gerade in diesem Zusammenhang sage ich: Wir sitzen auf einem Pulverfass. Es sind viele tickende Zeitbomben unter uns. https://t.co/K7louSYUJK","",""
"6992","Ismail Tipi - Tanzen als Zeichen gegen Gewalt gegen Frauen https://t.co/mD3IxQDQDZ https://t.co/NQu4PNhTHZ","",""
"6993","Alles Liebe zum Valentinstag! https://t.co/gMJNVfYtkf","",""
"6994","Es kann nicht sein, dass sich Straftäter mit Migrationshintergrund durch alle Instanzen klagen und so verhindern, dass sie abgeschoben werden. Genauso dürfen wir es uns nicht leisten, unsere Sozialsysteme für alle zugänglich zu machen. Keine „Augen zu und weiter so“-Politik mehr. https://t.co/ym88fVau4S","",""
"6995","https://t.co/DwAQWaVA83","",""
"6996","Werte schaffen Europa! https://t.co/VgDMi707CG","",""
"6999","Gib bitte deine Stimme!
https://t.co/d69EyEM7Qv","",""
"7002","@abderrahimde1 Dazu brauchen Sie keine Geheimdienste. Es war für jeden sichtbar... E ist ein gefährlicher Salafist und Hassprediger der die Jugend vergiftet...","",""
"7008","Die Salafisten und IS Terroristen wissen: In einem Rechtsstaat wie Deutschland gilt das Jugendstrafrecht. Minderjährige Kinder und Jugendliche brauchen keine Sorge und Scheu haben im Namen des Dschihads und der Scharia, Straftaten und Anschläge zu begehen. https://t.co/Anh4i87jqB","",""
"7010","Davor warne ich und das muss jedem klar sein. Es ist bittere Wahrheit und harte Realität. Wenn wir als Staat die Kinder den Salafisten überlassen, werden wir den Dschihad, die Scharia, den Radikalislamismus und den damit verbundenen Terror nicht verhindern können. https://t.co/SntnQhkgO2","",""
"7012","Preise werden nach Alter und Aussehen der Sklavinnen bestimmt. Die „Preise“ betragen zwischen 50 und 1500 Dollar. Schätzungsweise sind immer noch mehr als 2.500 Frauen und Mädchen in der Gefangenschaft der ISIS-Terrormiliz. https://t.co/SB0ZqOHOU9","",""
"7014","Der stille Schrei der IS-Sklaven wird immer noch nicht gehört. Was uns aus dem Mittelalter bekannt ist, ist heute noch bei der IS Herrschaft bittere und blutige Realität. Als „ungläubig“ geltende Frauen werden wie Waren verkauft oder auf Sklavenmärkten versteigert. https://t.co/KOqAKm5EtW","",""
"7018","Denn ein Reisepass aus einem europäischen Land ermöglicht den Terroristen auf ungefährliche Art und Weise nach Europa und auch nach Deutschland zu gelangen. Selbst wenn bislang „nur wenige Fälle“ bekannt sein sollten, sind deutsche Pässe für IS-Terroristen sehr wertvoll.","",""
"7020","Kerwe Königin Chiara und ihre Begleitdamen aus Einhausen – Bensheim besuchten uns im Landtag in Wiesbaden. https://t.co/pFWaj0nrST","",""
"7021","Ein deutscher Pass kann gemeinsam mit einer Gesundheitskarte auch mal mehrere tausend Euro kosten. Laut Bundesinnenministerium wurden letztes Jahr 554, im Jahr 2016 460 Fälle registriert, in denen echte Dokumente zur unerlaubten Einreise nach Deutschland genutzt wurden.","",""
"7029","Die Generalsekretärin der CDU Deutschlands, Annegret Kramp-Karrenbauer, sprach gerade  auf unserem Parteitag in Offenbach! https://t.co/OpgjPIBfll","",""
"7031","In Kürze gehts los. 112. Landesparteitag der CDU Hessen in Offenbach am Main. https://t.co/rTaxuqipoz","",""
"7032","https://t.co/ZtMh4c67ih","",""
"7033","Ismail Tipi: Wir dürfen gegenüber den Dschihad-Kindern nicht gutgläubig sein – zurückgekommene Jugendliche müssen in Demokratie geschult werden https://t.co/JMxOEWVE7m https://t.co/WnqYcFWhmR","",""
"7036","Das Kopftuch und alle anderen Formen der Bedeckung und Verschleierung für junge Mädchen haben in unseren Schulen nichts zu suchen. Deshalb bitte ich alle diese Online-Petition für ein Kopftuchverbot bei jungen Mädchen in den Schulen zu unterstützen.
https://t.co/d69EyEM7Qv https://t.co/SdG0yVxmxG","",""
"7037","Der IS wird sehr bald nicht nur ihre, in Terrorcamps ausgebildeten, Kinder in den Einsatz schicken. Sie werden Kinder und Jugendliche, die leicht beeinflussbar sind, über das Internet und das Handy radikalisieren, zu Schläfern und zu Attentätern indoktrinieren. https://t.co/C7i80WB5XH","",""
"7039","6-Punkte-Plan zur Bekämpfung der salafistischen Gefahr: Schnellere und härtere Verurteilung von Salafisten durch deutsche Gerichte https://t.co/4fEcTFFjJt https://t.co/gpEueWB723","",""
"7044","Von Oberhassprediger Ibrahim Abou-Nagie fehlt immer noch jede Spur. Nagie ist einer der gefährlichsten islamistischen Hetzer. Kurz vor dem Vereinsverbot gegen sein Netzwerk „Lies Projekt“, ist er untergetaucht. Er war einer, der die Jugend in die Arme des IS getrieben hat. https://t.co/oDCdJJsEwm","",""
"7045","Ismail Tipi - Kein Platz für Antisemitismus in Deutschland https://t.co/tM6hmek4uN https://t.co/m7seMncsAI","",""
"7047","Was nicht aus dem Herzen kommt, wird ein anderes Herz nicht erreichen. https://t.co/bHg3SfX5PQ","",""
"7051","Hier ein Interview der Hessen Depesche mit mir über mich und meine Arbeit im Hessischen Landtag.
https://t.co/Y1T8CIgRhO","",""
"7052","Ismail Tipi: Kinderehen weiter offensiv bekämpfen https://t.co/JGW8rO6YZi https://t.co/7H10uCmkLH","",""
"7055","Deutsche Staatsbürgerschaft darf nicht inflationär verteilt werden. Sicherheit geht vor. Wir müssen strenger gegen erschlichene Staatsbürgerschaften vorgehen. https://t.co/5QLup6vXGK","",""
"7062","ISI-T und die Kerb, Hau den Lukas… https://t.co/wuyqMBI1PV","",""
"7063","Vollverschleierung im öffentlichen Raum verbieten! Es ist gut, dass die Vollverschleierung im Staatsdienst in Deutschland verboten ist. Ich frage mich: Warum machen wir es nicht wie beispielsweise in Dänemark? Dort ist die Vollverschleierung auch im öffentlichen Raum verboten.","",""
"7064","Obertshäuser Abiturient Florian Wittstock mitten im politischen Geschehen im Hessischen Landtag. Hier wurde dem Praktikanten zum einen ein guter Einblick ermöglicht, zu erleben wie das Konzept der parlamentarischen Demokratie in der Praxis umgesetzt wird. https://t.co/rfTBYC067Y","",""
"7066","ISI-T, der Schützenkönig… https://t.co/Tq00DkaiWO","",""
"7068","Dieser Ausruf ACAB ist nach einem Urteil des Bundesverfassungsgerichts im Jahr 2016 von der Meinungsfreiheit gedeckt, da er nur als allgemeine Beleidigung zu
verstehen ist und sich nicht konkret an einen Polizisten richtet. https://t.co/vFikAKeGwi","",""
"7073","Die direkte Abschiebung ausländischer Hassprediger ist für mich ein zentraler Punkt für die Sicherheit der Bürgerinnen und Bürger und im Kampf gegen den Salafismus, Wenn jemand eine Gefahr für unsere innere Sicherheit darstellt, dürfen wir nicht nachsichtig sein.","",""
"7075","Dieser Nagelbombenanschlag am Weihnachtsmarkt scheiterte, weil es dem Zwölfjährigen nicht gelang, den selbst gebastelten Sprengsatz zu zünden.","",""
"7076","Weinfest in Obertshausen mit Freunden... https://t.co/QI8o6aMliV","",""
"7077","Ismail Tipi: Die Einbürgerung von Extremisten muss verhindert werden https://t.co/r7swKw5tNi https://t.co/5whNurvlAE","",""
"7079","ISI-T, Pferde und Spanien…. https://t.co/AVIj9a1Crj","",""
"7080","Ismail Tipi: Demokratie am Sandstrand - Burkini und Vollverschleierung gehören nicht in unsere Gesellschaft https://t.co/bhYvcV0CNR","",""
"7082","Die Online-Petition „Für ein Kopftuchverbot bei jungen Mädchen in den Schulen“ - Jetzt haben alle die Möglichkeit zu handeln. Unterstützt bitte die Petition und setzt damit ein deutliches Zeichen für unsere Demokratie und unseren Rechtsstaat.
https://t.co/wAmcrFoNAg https://t.co/KH8vAf07hC","",""
"7083","In Deutschland sind Kinderehen bereits verboten. Ist einer der beiden Ehepartner jünger als 16, ist die Ehe automatisch unwirksam. Das gilt auch, wenn die Ehe im Ausland geschlossen wurde.","",""
"7084","Findet das Tipi-Mobil! Haben Sie meinen kleinen Flitzer schon gesehen? Wenn ja, machen Sie ein Foto, um an meinem Gewinnspiel teilzunehmen! Posten Sie Ihr Bild auf meiner Facebook-Seite, auf Twitter, oder schicken Sie es mir per E-Mail (i.tipi@ltg.hessen.de) bis zum 14.10. 2018. https://t.co/pjtKw4yY9q","",""
"7085","Auch auf dem Europafest in Obertshausen habe ich heute Rosen an die Mütter verteilt. An diesem ganz besonderen Tag wollte ich damit einen lieben Gruß an alle Mütter weitergeben. Alles Gute zum Muttertag! https://t.co/AVx7FZPXEE","",""
"7087","Nein zu Kinderehen! Nein zu Zwangsehen! Nein zum Missbrauch von Kindern! Kinderbräute nein! Gewalt an Kindern und Frauen nein! Für das Wohl und den Schutz unserer Kinder zu sorgen, sollte unsere vorrangige Aufgabe sein. https://t.co/LFTUYdJf9d","",""
"7089","Am Sonntag besuchte ich das Derbyspiel zwischen SC Steinberg und Türkgücü Dietzenbach. Dort durfte ich die Mannschaften begrüßen. Ich habe die Fairness auf dem Fußballplatz angesprochen und auch angeregt, die Vereinsarbeit in Zukunft gemeinsam zu gestalten. https://t.co/PFVWlr3uMj","",""
"7090","Pro Hilfskräfte „Hände weg“ verurteilt Angriff auf Polizeibeamte in Essen https://t.co/qTyQmzgJpu https://t.co/Az2FqGxg49","",""
"7094","Die Gesetze müssen verschärft werden, damit auch noch nach zehn Jahren, und nicht wie bisher nur bis zu fünf Jahren, eine rechtwidrig erlangte Einbürgerung zurückgenommen werden kann.","",""
"7096","Die Erde lacht über den, der einen Ort sein eigen nennt.

Burasi dünya. Halbuki sadece misafiriz. Ne cok da kiymetlendirdik herseyi. Oysa bir tarla idi; ekip, bicip gidecektik… https://t.co/aNTRr8ZKqX","",""
"7098","Die Stadthalle Langen wurde am Pfingstsonntag wieder zum Schmelztiegel der Tanz und Kulturen. 24. Toplum Folklore Festival,,, https://t.co/jEWFj34XdN","",""
"7099","Schön war‘s vorgestern in Obertshausen mit Volker Bouffier, Frank Lortz und Hartmut Honka. <U+263A><U+FE0F> https://t.co/MqaZnEqOyN","",""
"7100","Teutonia Hausen, der Verein mit Herz und Seele, ist auch in diesem Jahr wieder in Feierlaune. In Anwesenheit vom Landtagsvizepräsident Frank Lortz, Bundestagsabgeordneten Björn Simon und weiteren Ehrengästen durfte ich als Wahlkreisabgeordneter den Bieranstich vornehmen. https://t.co/WdQxDXR7kM","",""
"7103","So soll der 18-Jährige, nachdem er sich in einem Treueschwur zu IS-Terror bekannt hatte, ab Sommer 2016 über WhatsApp, einen 12jährigen, Deutschen mit dem er sich regelmäßig austauschte beeinflusst haben, dass dieser einen Selbstmordanschlag in Ludwigshafen durchführen wollte. https://t.co/yWPazzDhFO","",""
"7107","Tipi ruft auf: Chancen auf beitragsfreien Kindergarten nutzen - Hessen Vorreiter bei der Kinderbetreuung https://t.co/R1QRiDoNQm https://t.co/EVCF8nVArL","",""
"7109","Ismail Tipi - Wer nicht kämpft, hat schon verloren! https://t.co/wbeOSo3aOE https://t.co/aJmRAupyNT","",""
"7110","Rechtsstaat Tag um Tag verteidigen - Auf steigende Gefahr angemessen reagieren https://t.co/BmFy4fhUEz https://t.co/OoI2ETb1wE","",""
"7111","Die meisten minderjährig verheirateten Mädchen in Deutschland sind Syrer (664), gefolgt von Herkunftsstaaten wie Afghanistan (157 Fälle), Irak (100 Fälle), Bulgarien (65 Fälle), Polen (41 Fälle), Rumänien (33 Fälle).","",""
"7112","Heute Morgen war eine Schülergruppe der Heinrich-Mann-Schule aus Dietzenbach zu Besuch. Ich habe mich sehr gefreut, die Klasse im Hessischen Landtag begrüßen zu dürfen. Gemeinsam mit anderen Kollegen haben wir über die anstehende Landtagwahl und viele politische Themen gesprochen https://t.co/xoK2t3earH","",""
"7114","6-Punkte-Plan zur Bekämpfung der salafistischen Gefahr: Die direkte Abschiebung ausländischer Hassprediger https://t.co/EscCuEZrRn https://t.co/73t06juB49","",""
"7115","https://t.co/SJLgGIaJKD","",""
"7117","Ferngesteuert werden sie die minderjährigen Kinder zu Anschlägen anstiften. Genauso ist es in der Anklageschrift gegen einen 18-Jährigen Wiener Salafisten und IS Anhänger zu lesen (siehe Link). https://t.co/8TFMD3jba0","",""
"7126","Auch in Deutschland gibt es nicht wenige Fälle. Nach offiziellen Angaben sind 1.475 Fälle in Deutschland bekannt, davon 361, bei denen Kinder unter 14 Jahren bereits verheiratet wurden. Diese Zahlen sind erschreckend. Jede einzelne Kinderehe ist eine zu viel.","",""
"7128","https://t.co/EgtDEmN6jh","",""
"7129","Was läuft in dieser Gesellschaft falsch? Stimmen der Scharia Sympathisanten gegen das Kopftuchverbot in den Schulen: 102.007. Stimmen für ein Kopftuchverbot bei jungen Mädchen in den Schulen: 5.285. Also, jetzt ist Zeit Verantwortung zu übernehmen. https://t.co/d69EyEM7Qv https://t.co/mLzy7fzGdV","",""
"7132","Hier die siebte Ausgabe meines Wahlkreisbriefs ""Aktuelles aus dem Landtag"" in diesem Jahr. https://t.co/qbPUtOwdKw https://t.co/6XtFloOwaW","",""
"7133","Heimat-und Geschichtsverein, Heimatloser Gedichtsverein Heusenstamm und dem Ikebana International Chapter Frankfurt veranstalteten ‘Tag des offenen Denkmals‘ mit Vernissage der Ikebana-Ausstellung in der Schlosstadt Heusenstamm. Ausstellung fand ein großes Interesse u Anerkennung https://t.co/CQxRYwMWv8","",""
"7136","Ausstellung im Landtag „Volkshochschulen - Orte der Integration"". Ziel der Ausstellung ist es, die Integrationsarbeit und das Grundverständnis der Volkshochschulen zur Integration zu zeigen. https://t.co/mvGvad5cOs","",""
"7137","Ismail Tipi: Bock nicht zum Gärtner machen - potentielle Gefährder haben an sicherheitsrelevanten Stellen nichts zu suchen https://t.co/giwKKmyuSL https://t.co/AFLqPrQWNk","",""
"7143","Auftaktveranstaltung der CDU Kreis Offenbach bei Teutonia in Obertshausen. Wir sind bereit und in kürze geht’s los. https://t.co/YrHyjd6bYA","",""
"7145","Die Online-Petition „Für ein Kopftuchverbot bei jungen Mädchen in den Schulen“. Unterstützt bitte die Petition und setzt damit ein deutliches Zeichen für unsere Demokratie und unseren Rechtsstaat.
https://t.co/wAmcrFoNAg https://t.co/LeWdT5xQLO","",""
"7146","https://t.co/Mg8WB1CeJq","",""
"7147","Kürzlich war ich bei der Senioren-Union in Bad Homburg zu Gast. Dort konnte ich zum Thema Integration als Herausforderung u Chance, über die innere Sicherheit als Gefahr u Bedrohung durch Salafismus, Scharia u Dschihad, über die Landtagswahlen und die persönliche Vita gesprochen. https://t.co/dJNRDx6vL2","",""
"7151","2 Petitionen, die einen gegenteiligen Standpunkt vertreten. Stimmen gegen das Kopftuchverbot: 101.989. Stimmen für ein Kopftuchverbot in den Schulen: 5.244. Und, wo ist der Fehler? Mach mit und gib bitte deine Stimme - Für ein Kopftuchverbot.
https://t.co/d69EyEM7Qv https://t.co/XRBrcmD13v","",""
"7152","Für ein starkes Hessen… https://t.co/JuNCKsXtEe","",""
"7154","Sitze in der 148. Plenarsitzung. Nach Verlesung der amtlichen Mitteilungen begann der Mittwoch mit dem Entschließungsantrag der Fraktionen der CDU und BÜNDNIS 90/DIE GRÜNEN ""Sicherheitsgefühl der Bürgerinnen und Bürger vor Ort stärken. https://t.co/0rBmj19MCW","",""
"7155","Heute und in Zukunft: Werte schaffen Heimat. https://t.co/Qxxvvc9Rye","",""
"7156","Der Wahlkampf geht in die heiße Phase. Jetzt heißt es gemeinsam mit den zahlreichen Helferinnen und Helfern Plakate in meinem Wahlkreis aufhängen. Ich freue mich schon auf die kommenden Wochen. https://t.co/scC8xUax31","",""
"7157","Liebe Freunde, Burka, Niqab und alle anderen Vollverschleierungen gehören nicht zu Deutschland und auch nicht zu Europa. Vollverschleierung müssen wir auch unter dem sicherheitsrelevanten Gründen verbieten!","",""
"7160","@RainerDederichs @TichysEinblick Ich gebe niemals auf lieber Herr Dederichs... BG","",""
"7161","Kerb des Turnvereins Rembrücken mit Borsch-Verbrennung beendet. Drei Tage lang haben Aktive des Turnvereins wieder Gäste auf dem Platz vor der Alten Schule bewirtet und unterhalten. https://t.co/E1WeLZwfIz","",""
"7162","Bock nicht zum Gärtner machen - potentielle Gefährder haben an sicherheitsrelevanten Stellen nichts zu suchen. https://t.co/burix6B91q","",""
"7164","ISI-T und die Pandas… https://t.co/VJPhc3VgF4","",""
"7166","Bundesweites Vorzeigeprojekt: Rechtsstaatsklassen für Asylbewerber in Hessen https://t.co/shGJPovaX8 https://t.co/DeLtEKdciB","",""
"7167","ISI-T glaubt auch danach: Heißer Sommer, guter Wein. https://t.co/W8sHtaxjlR","",""
"7168","Auftakt zum Landtagswahlkampf der örtlichen Christdemokraten...

https://t.co/Dop0f7HQwZ","",""
"7172","@2CentRants Grundsätzlich finde ich es richtig, Tempo 30 in der Nacht auszuweiten, um AnwohnerInnen vor Lärm zu schützen. #FROBcheck @fr","",""
"7173","@nico_wehnemann @DIELINKEHESSEN Ich war doch da!","",""
"7176","Habt ihr Fragen an die Linken-Kandidatin @Janine_Wissler ? Stellt sie ihr doch persönlich: Janine Wissler kommt heute von 17 bis 18 Uhr zum FR-Twitter-Interview. #FROBcheck #obwahlffm #OBWahl2018 https://t.co/Fqfd7qD4P8","",""
"7177","Infostand von @LinkeFFMNordend am Merianplatz mit @Janine_Wissler. #obwahlffm https://t.co/Pn6R5OZO7Z","",""
"7183","@Marc60487 Die Mehrheit der Obdachlosen und ""Bettler"" gehört keinen kriminellen Banden an, sie brauchen Unterkünfte und Hilfe statt Platzverweise und Strafen. Wenn man die Obdachlosigkeit in Frankfurt bekämpft, entzieht man damit auch den Banden die Grundlage. #FROBcheck @fr","",""
"7186","@herr_sassenroth @Chkelz64Kelz @YOUFM Der Tweet bezog sich wohl auf mein „Blind Date mit dem Wähler“ im HR-Fernsehen.","",""
"7187","@Dani_e2Le Minderjährige unter 14 Jahren, genauer gesagt.","",""
"7191","Ich hab ja schon viel dummes Zeug gehört im Landtag, aber dass ein CDUler den drastischen Rückgang von Sozialwohnungen als Erfolg (!) der Landesregierung wertet, nimmt einen Spitzenplatz auf der nach oben offenen Dummgeschwätzskala ein.

Meine Rede dazu:
https://t.co/bC2ClR7syE","",""
"7194","Am Donnerstag sitze ich zusammen mit @Janine_Wissler vor ihrem Twitter-Account in der Redaktion der @fr. Schreibt eure Fragen und löchert die Kandidatin zur #OBwahl2018 unter #FROBcheck. https://t.co/AkHuOf1Ilh","",""
"7196","@ffmradler Frankfurt muss fahrradfreundlicher werden. Ich ärgere mich selber oft über zugeparkte Radwege - gerade durch die vielen Lieferwagen. Das gefährdet die Sicherheit. Wir brauchen bessere Radwege und gegen Falschparker auf Radwegen muss konsequent vorgegangen werden. #FROBcheck @fr","",""
"7199","@1_Meinung @dieLinke @DIELINKEHESSEN Ich weiß. Die Abschiebung ist offensichtlich für morgen um fünf Uhr früh geplant.","",""
"7207","""Als OB sich das lohnt?!"" Info-Veranstaltung mit @SSRffm zur #OBWahl2018 in #Frankfurt am 7.2. 9-14 Uhr im Haus der Jugend mit bis zu 300 #Schüler*innen und den Kandidat*innen @feldmann2018 @WeylandFFM @NargessEG @Janine_Wissler @nico_wehnemann 
https://t.co/Q42r7riaLE https://t.co/883Sds79xu","",""
"7208","Sagen Sie mal, @Janine_Wissler, was machen Sie besser als die anderen Kandidaten?
#OBWahl2018 
#obwahlffm #dielinke @LinkeFFM 
https://t.co/HWiGo9wb0V","",""
"7213","Innenminister Beuth verteidigt im Landtag seine Büttenrede und Witze über junge Flüchtlinge. Nach dem Motto ""Das wird man doch noch sagen dürfen"". Wer ihn dafür kritisiert, stärke Rechtsaußen (nicht etwa, wer rechte Sprüche macht).

Im Hintergrund: Drei sichtbar irritierte Grüne. https://t.co/XDO7Wabbgj","",""
"7215","Zum Thema #links sein und #Rolex hat @Janine_Wissler, Linke-Spitzenkandidatin in Hessen, im FAZ-Magazin schon vor zwei Jahren das Nötige gesagt: „Her mit dem schönen Leben! https://t.co/Gd8j1zAnLL via @faznet #ltwhe18 #chebli","",""
"7220","240.000 Menschen bei #Unteilbar in Berlin und auch in Frankfurt demonstrierten heute Tausende gegen Rechts.

#lautstarkgegenrechts #wirsindmehr https://t.co/zwGnGn4qUg","",""
"7221","Gute Stimmung in der Union:

„Einen Tag vor der Wahl in Bayern hat Bouffier die CSU scharf kritisiert. ‚Die CSU war leider in den letzten Monaten für das Ansehen der Union insgesamt nicht besonders hilfreich.‘ ... hat die Union viel Vertrauen gekostet.‘“
https://t.co/9TY0sMNyyX","",""
"7223","@FFMatze Ich finde auch, dass wir die Automassen drastisch reduzieren müssen. Dafür müssen aber Alternativen geschaffen werden, der ÖPNV muss preiswerter, besser und barrierefrei werden, damit alle Menschen Busse und Bahnen nutzen können und nicht aufs Auto angewiesen sind. #FROBcheck @fr","",""
"7226","Sehr gut. Herzlichen Glückwunsch! https://t.co/yAudkjHhh3","",""
"7227","@BrittaNeunmal @dieLinke Frankfurt am Main.","",""
"7228","@derron93 @ffmradler Wo möglich die Radwege baulich trennen, wo nötig abpollern, damit sie keiner zuparken kann. Ansonsten bessere Kontrollen und abschleppen, wo die Sicherheit gefährdet ist - wenn das Frankfurter Ordnungsamt wieder abschleppen lassen kann, was ja aktuell ein Problem ist.","",""
"7229","„Ich wähl euch sowieso“, „ich hab euch schon gewählt“, „ich drücke euch die Daumen!“ Ich mag meinen Wahlkreis.

Wahlkampf in Frankfurt-Rödelheim bei hochsommerlichen Temperaturen. Und dabei noch ein paar Dutzend Unterschriften für den @mietentscheid gesammelt. https://t.co/ijQ9KDiMRR","",""
"7232","Laut Pestel-Institut hat der Bund 1960 noch 4,5 % des Bundeshaushalts für Wohninfrastruktur ausgegeben.
Das wären heute 15 Mrd. €, real sind es aber nur 1,5 Mrd. Aber Seehofer erklärt das zur größten Anstrengung im Wohnungsbereich, die bisher unternommen wurden.","",""
"7236","@jphintze @SilkeBurmester @dieLinke Viele Ermittlungsverfahren sind bereits abgeschlossen: AfD-Abgeordnete wurden verurteilt u.a. wegen Steuerhinterziehung, Schmuggel, Volksverhetzung, Betrug, Beihilfe zur gefährl. Körperverletzung.
Ermittelt wird u.a. wegen Volksverhetzung, sex Nötigung, versuchter Vergewaltigung.","",""
"7237","@felixletkemann @Silver_Typhoon @Samba1957 @markmollerus @dieLinke @AfD_Hessen Viele Ermittlungsverfahren sind abgeschlossen: AfD-Abgeordnete wurden verurteilt u.a. wegen Steuerhinterziehung, Schmuggel, Volksverhetzung, Betrug, Beihilfe zur gefährlicher Körperverletzung.
Eine Verlaufsstatistik wäre trotzdem sinnvoller und viel aussagekräftiger.","",""
"7238","@peterzanger1 @dieLinke Viele Ermittlungsverfahren sind abgeschlossen: AfD-Abgeordnete wurden verurteilt u.a. wegen Steuerhinterziehung, Schmuggel, Volksverhetzung, Betrug, Beihilfe zur gefährl. Körperverletzung.
Ermittelt wird u.a. wegen Volksverhetzung, sexueller Nötigung, versuchter Vergewaltigung.","",""
"7239","@hirschpunk @dieLinke @DietmarBartsch Wer sich, wie die AfD, als einzig wahre Vertreterin von „Recht und Ordnung“ aufspielt, Migranten pauschal zur Gefahr erklärt und anderen permanent Rechtsbrüche vorwirft, muss sich an der eigenen Gesetzestreue messen lassen.","",""
"7240","@1_Meinung @dieLinke @DIELINKEHESSEN Ich bin wach, habe es vor etwa eineinhalb Stunden erfahren und telefoniere seit ich es erfahren habe durch die Gegend. Aber mitten in der Nacht kann man leider nicht viel machen.","",""
"7242","@RTLHessen @Janine_Wissler @DIELINKEHESSEN @metroskop Ich musste erst 67 Jahre alt werden, um das erste mal nicht mehr SPD zu wählen. Im Oktober wähle ich die Linke. Wird Zeit.","",""
"7244","Heute bin ich ab etwa 17.30 Uhr zu Gast beim Sommerfest der LINKEN in Mainz. Kommt vorbei und bringt Freunde und Familie mit! https://t.co/6HNxQnfiAt","",""
"7245","Mein Sommerinterview mit SAT 1 zu Marx, bezahlbarem Wohnen, Flüchtlingspolitik und dem Parteitag der LINKEN. Dann wisst ihr auch, wo ich schmutzige Wäsche wasche ...
https://t.co/dKQ3sU856e","",""
"7246","Unsere Spitzenkandidatin @Janine_Wissler: Im Grundgesetz steht nicht; die Würde des Deutschen ist unantastbar, sondern die Würde des Menschen. Deshalb stehen wir zur #Seenotrettung und #Seebruecke und deshalb müssen #SammelAbschiebungen eine Ende haben. #MehrFürDieMehrheit","",""
"7248","@_mobidick @dieLinke Das war ja auch ironisch gemeint.","",""
"7254","Tausende Menschen haben am Wochenende in Frankfurt am Main für bezahlbare #Mieten und gegen #Mietenwahnsinn demonstriert @DIELINKEHESSEN @Janine_Wissler #Gentrifizierung #Wohnen https://t.co/D3M9kmEJrY","",""
"7256","@Eisenfrass @BineB @dieLinke @DIELINKEHESSEN @SWagenknecht Danke für die Einladung, aber „ich hab noch nichts vor“ gibt es bei mir bis zum 28. Oktober leider nicht mehr <U+0001F609>","",""
"7258","Unsere gestrige Info-Veranstaltung mit dem @SSRffm zur #OBWahl2018 in #Frankfurt war ein großer Erfolg. Siehe heutige Berichte in der @FRlokal &amp; @FAZ_RheinMain
Danke an Schüler*innen &amp; Kandidat*innen fürs Mitmachen!
Bild ist nur #Momentaufnahme. Irgendwann waren sie alle dabei :) https://t.co/0G4PzLsJCr","",""
"7259","@jensaussh @dieLinke @LeolucaOrlando1 Kann ich nicht bestätigen. Ich war schon zweimal dort und finde, dass Palermo eine sehr spannende und sehenswerte Stadt ist. Vor kurzem  wurden weite Teile der Innenstadt zur Fußgängerzone gemacht (mit kostenlosem Shuttlebus), was ein Riesengewinn für die Stadt ist. https://t.co/5nYOF2l2q5","",""
"7264","Wahnsinn. „Nach Angaben des Flüchtlingsrates begründeten die Behörden die Abschiebehaft wie folgt: ‚Der Versuch, eine Arbeits- und Ausbildungserlaubnis zu erhalten, wird als eindeutiges Zeichen gedeutet, nicht freiwillig auszureisen.‘“ https://t.co/6dXbPHUnrR","",""
"7268","Auch aus Einrichtungen der Jugendhilfe, psychiatrischen Kliniken oder Schulen wurden heute in #Bayern afghanische Jugendliche abgeholt. Sie alle sollen heute Abend abgeschoben werden. So sieht offenbar das neue Gesicht Deutschlands aus. https://t.co/mVdwawCJJ1","",""
